NOMBRE_TUI;CATEGORIA_TUI;DIRECCION_TUI;LATITUD_TUI;LONGITUD_TUI;DESCRIPCION_TUI;WEBSITE;TELEFONO;HORARIO;Categoria_1;Categoria_2;Categoria_3
Campo de Fútbol Municipal de El Viso de San Juan.;hoteles;Polígono Rústica-8,  45215 El Viso de San Juan, Spain;4013392;-392562;;https://elvisodesanjuan.org/;925 55 96 48;Monday: 5:00?–?11:00?PM | Tuesday: 5:00?–?11:00?PM | Wednesday: 5:00?–?11:00?PM | Thursday: 5:00?–?11:00?PM | Friday: 5:00?–?11:00?PM | Saturday: 8:00?AM?–?10:00?PM | Sunday: Closed;;;
Escuela Infantil Patuko'S;hoteles;Calle Cigüeña, 1 45215 El Viso de San Juan, Spain;4014708;-391675;;https://m.facebook.com/Escuela-Infantil-Municipal-Patukos-El-Viso-De-San-Juan-1698084257090584/;925 52 63 86;Monday: 7:30?AM?–?4:30?PM | Tuesday: 7:30?AM?–?4:30?PM | Wednesday: 7:30?AM?–?4:30?PM | Thursday: 7:30?AM?–?4:30?PM | Friday: 7:30?AM?–?4:30?PM | Saturday: Closed | Sunday: Closed;;;
Public School Fernando de Alarcón;hoteles;Carretera Cedillo,  45215 El Viso de San Juan, Spain;4014097;-391830;;http://ceip-fernandodealarcon.centros.castillalamancha.es/;925 55 95 97;Monday: 9:00?AM?–?2:00?PM | Tuesday: 9:00?AM?–?2:00?PM | Wednesday: 9:00?AM?–?2:00?PM | Thursday: 9:00?AM?–?2:00?PM | Friday: 9:00?AM?–?2:00?PM | Saturday: Closed | Sunday: Closed;;;
Oficina Rural de Correos;hoteles;Carretera Cedillo, 9 45215 El Viso de San Juan, Spain;4014118;-391844;;http://www.correos.es/;925 51 45 57;Monday: 8:30?–?10:00?AM | Tuesday: 8:30?–?10:00?AM | Wednesday: 8:30?–?10:00?AM | Thursday: 8:30?–?10:00?AM | Friday: 8:30?–?10:00?AM | Saturday: Closed | Sunday: Closed;;;
Urbanización las Flores;hoteles;,  45215 Urbanización las Flores, Spain;4016065;-398063;;;;;;;
Talleres Motorviso;hoteles;Calle Cádiz, 1 45215 El Viso de San Juan, Spain;4013904;-391908;;https://www.facebook.com/Motorviso-347427865893587;925 55 94 19;Monday: 9:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Tuesday: 9:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Wednesday: 9:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Thursday: 9:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Friday: 9:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Saturday: 9:00?AM?–?2:00?PM | Sunday: Closed;;;
Farmacia el Viso;hoteles;Calle Carrera, 27 45215 El Viso de San Juan, Spain;4014194;-391747;;https://farmaciaelviso.com/;925 55 90 23;Monday: 9:00?AM?–?9:00?PM | Tuesday: 9:00?AM?–?9:00?PM | Wednesday: 9:00?AM?–?9:00?PM | Thursday: 9:00?AM?–?9:00?PM | Friday: 9:00?AM?–?9:00?PM | Saturday: 9:00?AM?–?2:00?PM | Sunday: Closed;;;
CaixaBank Store;hoteles;Travesía España, 2 45215 El Viso de San Juan, Spain;4014522;-391601;;https://www.caixabank.es/?Origen=GMB;600 40 40 90;Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 8:15?AM?–?2:30?PM | Friday: Closed | Saturday: Closed | Sunday: Closed;;;
Sports Field;hoteles;,  45215 , Spain;4014827;-396172;;;;;;;
Ebar El Viso de San Juan;hoteles;Camino de Palomeque al Viso de San Juan,  45215 , Spain;4013826;-393612;;;;;;;
