PLACE_ID;NOMBRE_TUI;TIPOS_TUI;CATEGORIA_TUI;DIRECCION;RATING_TUI;TOTAL_VALORACIONES_TUI;PRECIO;ESTADO_NEGOCIO;LATITUD_TUI;LONGITUD_TUI;URL;WEBSITE;HORARIO;TELEFONO;RESERVA_POSIBLE;ACCESIBILIDAD_SILLA_RUEDAS
ChIJwU0sLIsnQg0Rp_ARXi4V28g;Rayco;Hoteles,;Alojamiento;C. de Camichi, 10, Carabanchel, 28025 Madrid, Spain;5;1;;Abierto;403911194;-3,74053E+16;;http://www.rayco.es/;;609 41 17 14;FALSO;FALSO
ChIJXZH65UEnQg0Ry9Ibg7gEf8g;Hospedaje La Campana;Hoteles,hotel;Alojamiento;C. Castellflorite, 11, Carabanchel, 28019 Madrid, Spain;4;1;;Abierto;403940084;-37381039;;;;641 56 57 72;FALSO;FALSO
ChIJN51Tf_MnQg0RMVwBvcOk2E4;Madrid paradaise;Hoteles,hotel;Alojamiento;C. Castellflorite, Carabanchel, 28019 Madrid, Spain;0;0;;Abierto;403939753;-3,73816E+16;;;;634 18 67 54;FALSO;FALSO
ChIJPV9zcZgnQg0RJwjpKCw81Xw;Mr Bao House;Hoteles,hotel;Alojamiento;Av. de Ntra. Sra. de Valvanera, 102, Carabanchel, 28025 Madrid, Spain;4,3;6;;Abierto;403917979;-3,73827E+16;;;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];;FALSO;FALSO
ChIJK6j81EgnQg0RIH3jIaVQtbQ;Studios Cielo Madrid;Hoteles,hotel;Alojamiento;C. de Matilde Hernández, 40, Carabanchel, 28019 Madrid, Spain;4,3;327;;Abierto;403908236;-3,73398E+16;;http://www.cielomadrid.com/;;;FALSO;VERDADERO
ChIJT9dHJwAnQg0RwB-1ysVbMYc;???? ??????;Hoteles,hostel;Alojamiento;C. Soldado José María Rey, 44, Carabanchel, 28019 Madrid, Spain;0;0;;Abierto;403949517;-3,73267E+16;;;;;FALSO;FALSO
ChIJm50vNwAnQg0R3QMxDo7Is08;Trees Coliving Galerías;Hoteles,;Alojamiento;C. del Toboso, 15, Carabanchel, 28019 Madrid, Spain;0;0;;Abierto;403925438;-37260351;;https://www.treescoliving.com/madrid-galerias;;;FALSO;FALSO
ChIJVd5adAAnQg0RJ8eh9wHaK6I;Global Home-MA24;Hoteles,hotel;Alojamiento;Calle de la, C. Marquesa de Argüeso, 24, Carabanchel, 28019 Madrid, Spain;0;0;;Abierto;403914385;-3723914;;;;;FALSO;FALSO
ChIJb86dxrgnQg0RyW9ivUbeAzg;Mars Suites Porras;Hoteles,hotel;Alojamiento;C. Antonio González Porras, 3, Carabanchel, 28019 Madrid, Spain;1,9;13;;Abierto;403904369;-3,7172E+16;;;;722 50 90 85;FALSO;FALSO
ChIJyar6_cAnQg0RlPMvq4cEMVQ;RI HOSTELs;Hoteles,hotel;Alojamiento;C. Sallaberry, 1, Carabanchel, 28019 Madrid, Spain;0;0;;Abierto;40394475;-3720306;;;;619 73 54 25;FALSO;FALSO
ChIJ9zyDZgAnQg0RR___JJmCZpw;tal soH;Hoteles,bed_and_breakfast;Alojamiento;C. de Pedro Campos, 22, Carabanchel, 28019 Madrid, Spain;0;0;;Abierto;403913942;-3,71816E+16;;;;;FALSO;FALSO
